from,to,weight,relationship,time
lath,Sueddeutsche_Zeitung,1,Jetzt,2017-10-16
dpa,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-16
Riehl,Sueddeutsche_Zeitung,1,Panorama,2017-10-16
Vahabzadeh,Sueddeutsche_Zeitung,1,Kultur,2017-10-16
dpa,Sueddeutsche_Zeitung,1,Karriere,2017-10-18
fie,Sueddeutsche_Zeitung,1,Panorama,2017-10-18
Hertreiter,Sueddeutsche_Zeitung,1,Panorama,2017-10-18
dpa,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-19
AFP,Sueddeutsche_Zeitung,1,Panorama,2017-10-19
dpa,Sueddeutsche_Zeitung,1,Kultur,2017-10-19
dpa,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-19
dpa,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-19
dpa,Sueddeutsche_Zeitung,1,Kultur,2017-10-19
Schmieder,Sueddeutsche_Zeitung,1,Kultur,2017-10-20
dpa,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-20
Hoffmann,Sueddeutsche_Zeitung,1,Jetzt,2017-10-20
Lichtblau,Sueddeutsche_Zeitung,1,Jetzt,2017-10-20
Klasen,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-20
Engelbrecht,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-20
Pfeifer,Sueddeutsche_Zeitung,1,Panorama,2017-10-21
dpa,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-22
Doessel,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-22
Denk,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-22
Pfeifer,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-22
Schmitz,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-22
Schuster,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-22
Schuster,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-23
dpa,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-24
Holtschulte,Sueddeutsche_Zeitung,1,Magazin,2017-10-24
dpa,Sueddeutsche_Zeitung,1,Politik,2017-10-25
Schoenhuetl,Sueddeutsche_Zeitung,1,Politik,2017-10-25
Anonym,Sueddeutsche_Zeitung,1,Jetzt,2017-10-25
Rest,Sueddeutsche_Zeitung,1,Mode,2017-10-27
dpa,Sueddeutsche_Zeitung,1,Gesellschaft,2017-10-28
AP,Sueddeutsche_Zeitung,1,Panorama,2017-10-30
jsa,Sueddeutsche_Zeitung,1,Politik,2017-10-30
dpa,Sueddeutsche_Zeitung,1,Gesellschaft,2017-11-03
dpa,Sueddeutsche_Zeitung,1,Gesellschaft,2017-11-03
dpa,Sueddeutsche_Zeitung,1,Gesellschaft,2017-11-03
Vahland,Sueddeutsche_Zeitung,1,Kultur,2017-11-03
jsa,Sueddeutsche_Zeitung,1,Politik,2017-11-04
Beitzer,Sueddeutsche_Zeitung,1,Gesellschaft,2017-11-04
Zekri,Sueddeutsche_Zeitung,1,Kultur,2017-11-05
dpa,Sueddeutsche_Zeitung,1,Gesellschaft,2017-11-09
dpa,Sueddeutsche_Zeitung,1,Gesellschaft,2017-11-13
Schneeberger,Sueddeutsche_Zeitung,1,Medien,2017-11-13
dpa,Sueddeutsche_Zeitung,1,Gesellschaft,2017-11-13
Bigalke,Sueddeutsche_Zeitung,1,Gesellschaft,2017-11-13
Schroeder,Sueddeutsche_Zeitung,1,Karriere,2017-11-13
Doerr,Sueddeutsche_Zeitung,1,Kultur,2017-11-15
Ruehle,Sueddeutsche_Zeitung,1,Kultur,2017-11-19
jwh,Sueddeutsche_Zeitung,1,Jetzt,2017-11-20
Kreye,Sueddeutsche_Zeitung,1,Kultur,2017-11-20
