id,follower,wohnort,medium,sex,type
_juliaschramm,21.900,Berlin,na,1,0
annalero,1.100,Sydney,Spiegel,1,0
annalist,28.800,Berlin,na,1,0
annlivma,382,na,na,1,0
apeanne,1.200,Berlin,nachtkritik.de,1,0
ckoever,2.000,Berlin,Missy_Magazine ,1,0
crazylittlenici,602,Kiel,na,1,0
digiwomende,10.200,Hamburg,na,3,1
doubleyoueiebke,320,na,F_Mag,1,0
ecoimquadrat,1.800,Frankfurt,F.A.S,1,0
emotionmagazin,1.600,Hamburg,na,3,1
fraeulein_tessa,37.700,na,Edition_F,1,0
frausonnefeld,1.000,Hamburg,na,1,0
gesine_agena,3.900,na,na,1,0
laloeffelstiel,1.300,Berlin,Buzz_Feed_Germany,1,0
laurajo_aha,124,Berlin,Musik_Express,1,0
leoffm,608,Frankfurt,na,3,0
marga_owski,37.700,Berlin,Spiegel,1,0
marthadear,21.200,Berlin,na,1,0
missclaraott,1.300,Berlin,Welt,1,0
missy_magazine,12.500,Berlin,na,3,1
mrskingkoch,426,Berlin,Welt ,1,0
netizenmay,1.100,Iran,na,1,0
nicolaabe,1.700,Berlin,Spiegel,1,0
ninialagrande,9.100,na,na,1,0
noravanessa,4.200,Berlin,Edition_F,1,0
ohsophianet,1.000,Berlin,na,1,0
slow_haus,1.700,Berlin,Missy_Magazine,1,0
tdfev,4.600,Berlin,na,3,1
textautomat,8.000,Berlin,Buzz_Feed_Germany,1,0
