from,to,week
Politik,Adorján,19
Panorama,AFP,1
Panorama,AFP,1
Politik,AFP,1
Politik,AFP,2
Politik,AFP,5
Kultur,AFP,8
Kultur,AFP,8
Politik,AFP,11
Panorama,AFP,13
Panorama,AFP,13
Kultur,AFP,13
Politik,AFP,14
Panorama,AFP,14
Politik,Ahmed,7
Panorama,Alanyali,13
Kultur,Alanyali,16
Panorama,Alanyali,17
Meinung,Alexander,8
Jetzt,Anonym,2
Panorama,AP,1
Panorama,AP,3
Politik,AP,8
Politik,AP,8
Politik,AP,9
Panorama,AP,13
Panorama,AP,13
Kultur,AP,13
Politik,AP,14
Karriere,Atkinson,16
Kultur,Augstein,6
Inland,Aydemir,7
Kultur,Balkenborg,17
Gesellschaft,Balmer,13
Schwerpunkt,Balmer,14
Gesellschaft,Balmer,14
Ausland,Balmer,15
Gesellschaft,Balmer,18
Kultur,Bangel,10
Kultur,Baniotopoulou,15
Kultur,Bartsch,18
Kultur,Bartsch,18
Kultur,Baumgaertel,20
Kultur,Bayer,8
Kultur,Bayer,19
Meinung,Becker,4
Panorama,Becker,13
Kultur,Beisel,13
Gesellschaft,Beitzer,3
Gesellschaft,Beitzer,11
Kultur,Berg,16
Politik,Beyer,13
Kultur,Biazza,10
Gesellschaft,Bigalke,5
Gesellschaft,Bigalke,10
Kultur,Biringer,1
Kultur,Biringer,6
Kultur,Biringer,20
Panorama,Bock,1
Kultur,Boehme,12
Kultur,Boehme,18
Kultur,Boehme,20
Magazin,Boeker,13
Magazin,Boeker,14
Magazin,Boeker,18
Regionales,Boettger,1
Politik,Bokelberg,4
Panorama,Bolzen,13
Kultur,Borcholte,10
Musik,Borcholte,14
Kultur,Bota,17
Panorama,Bredow,10
Panorama,Bredow,10
Panorama,Bredow,16
Regionales,brit,20
Panorama,Brocholte,13
Gesellschaft,Bruells,12
Kultur,Brug,21
Kultur,Buss,15
Kultur,ces,13
Kultur,Chervel,17
Jetzt,chwa,17
Politik,cl,8
Politik,cl,8
Politik,cl,9
Politik,coh,5
Politik,coh,19
Gesellschaft,Community,21
Panorama,Dargent,5
Kultur,Daub,13
Panorama,Degner,20
Kultur,Dell,7
Gesellschaft,Denk,1
Kultur,Diez,1
Panorama,Diez,5
Kultur,Diez,6
Kultur,Diez,8
Kultur,Diez,15
Kultur,doer,13
Gesellschaft,Doerfler,18
Kultur,Doerr,5
Kultur,Doerr,18
Gesellschaft,Doessel,1
Gesellschaft,dpa,1
Karriere,dpa,1
Gesellschaft,dpa,1
Kultur,dpa,1
Gesellschaft,dpa,1
Gesellschaft,dpa,1
Kultur,dpa,1
Gesellschaft,dpa,1
Gesellschaft,dpa,1
Politik,dpa,2
Gesellschaft,dpa,2
Politik,dpa,2
Gesellschaft,dpa,2
Panorama,dpa,2
Gesellschaft,dpa,3
Gesellschaft,dpa,3
Gesellschaft,dpa,3
Gesellschaft,dpa,4
Gesellschaft,dpa,4
Gesellschaft,dpa,5
Gesellschaft,dpa,5
Medien,dpa,7
Panorama,dpa,7
Gesellschaft,dpa,8
Kultur,dpa,8
Politik,dpa,8
Politik,dpa,8
Gesellschaft,dpa,8
Kultur,dpa,8
Gesellschaft,dpa,9
Politik,dpa,9
Panorama,dpa,9
Gesellschaft,dpa,10
Gesellschaft,dpa,10
Kultur,dpa,11
Politik,dpa,11
Panorama,dpa,12
Kultur,dpa,12
Kultur,dpa,12
Medien,dpa,12
Gesellschaft,dpa,12
Kultur,dpa,13
Kultur,dpa,13
Gesellschaft,dpa,13
Gesellschaft,dpa,13
Gesellschaft,dpa,13
Panorama,dpa,13
Gesellschaft,dpa,13
Gesellschaft,dpa,14
Politik,dpa,14
Regionales,dpa,14
Gesellschaft,dpa,14
Gesellschaft,dpa,14
Politik,dpa,14
Kultur,dpa,15
Kultur,dpa,15
Gesellschaft,dpa,15
