id,type
il_berlin,0
ina_holub,0
jiabrahams,0
josephine_witt,0
juliethober,0
k_gottschalk,0
kir_ach,0
kleiner_3,0
kristina_lunz,0
kuebra,0
laloeffelstiel,0
laurajo_aha,0
lauralindal,0
luisepusch,0
m_ariii,0
magda_albrecht,0
mahriah,0
marthadear,0
missy_magazine,0
moiragweigel,0
mrskingkoch,0
netizenmay,0
nicolaabe,0
ninialagrande,0
noravanessa,0
ohsophianet,0
philipsteffan,0
rrho,0
sabine_hark,0
schashka,0
schwarzblond,0
sexismustoetet,0
slow_haus,0
susannbot,0
sz_planw,0
textautomat,0
tugendfurie,0
ulle_schauws,0
unsereantwort,0
vonhorst,0
xknappi,0
leoffm,0
annlivma,0
tdfev,0
annalero,1
crazylittlenici,0
ecoimquadrat,0
fraeulein_tessa,0
frausonnefeld,0
missclaraott,1
marga_owski,1
_juliaschramm,0
annalist,0
annekspeck,0
annikaspahn,0
anschlaege,0
apeanne,0
bergdame,0
bff_gegengewalt,0
ckoever,0
comeonbaehr,0
deviant_cat,0
differentneeds,0
digiwomende,0
doubleyoueiebke,0
duduhier,0
emotionmagazin,0
epiclout,0
feminsist,0
femipression,0
femsarefab,0
fotografiona,0
fraukorbik,0
frausommerfeld,0
fstudien,0
gehraven,0
gendermessias,0
gesine_agena,0
gleichimnetznrw,0
grrrlsarestrong,0
grueneslila,0
gwi_boell,0
mattmcgorry,0
cigdem_toprak,0
peter_simone,0
reticuleena,0
