id,name,sex,type
Adorján,Johanna Adorján,1,0
AFP,AFP,3,0
Ahmed,Amr Ahmed,1,0
Alanyali,Iris Alanyali,1,0
Alexander,Robin Alexander,2,0
Anonym,Anonym,2,0
AP,AP,3,0
Atkinson,Sophie Atkinson,1,0
Augstein,Jakob Augstein,2,0
Aydemir,Fatma Aydemir,1,0
Balkenborg,Jens Balkenborg,2,0
Balmer,Rudolf Balmer,2,0
Bangel,Christian Bangel,2,0
Baniotopoulou,Christina Baniotopoulou,1,0
Bartsch,Leonie Bartsch,1,0
Baumgaertel,Tim Baumgaertel,2,0
Bayer,Felix Bayer,2,0
Becker,Claudia Becker,1,0
Beisel,Karoline Meta Beisel,1,0
Beitzer,Hannah Beitzer,1,0
Berg,Sibylle Berg,1,0
Beyer,Susanne Beyer,1,0
Biazza,Jakob Biazza,2,0
Bigalke,Silke Bigalke,1,0
Biringer,Eva Biringer,1,0
Bock,Caroline Bock,1,0
Boehme,Tim Caspar Boehme,2,0
Boeker,Carmen Boeker,1,0
Boettger,Gottfried Boettger,2,0
Bokelberg,Nilz Bokelberg,2,0
Bolzen,Stefanie Bolzen,1,0
Borcholte,Andreas Borcholte,2,0
Bota,Alice Bota,1,0
Bredow,Birte Bredow,1,0
brit,brit,3,0
Brocholte,Andreas Brocholte,2,0
Bruells,Maike Bruells,1,0
Brug,Manuel Brug,2,0
Buss,Christian Buss,2,0
ces,ces,3,0
Chervel,Thierry Chervel,2,0
chwa,chwa,3,0
cl,cl,3,0
coh,coh,3,0
Community,Community,3,0
Dargent,Ralf Dargent,2,0
Daub,Adrian Daub,2,0
Degner,Viktoria Degner,1,0
Dell,Matthias Dell,2,0
Denk,David Denk,2,0
Diez,Georg Diez,2,0
doer,doer,3,0
Doerfler,Sebastian Doerfler,2,0
Doerr,Julian Doerr,2,0
Doessel,Christine Doessel,1,0
dpa,dpa,3,0
dpa-Infocom_GmbH,dpa-Infocom_GmbH,3,0
ds,ds,3,0
DW,DW,3,0
Eberle,Lukas Eberle,2,0
El-Sharif,Yasmin El-Sharif,1,0
Endres,Alexandra Endres,1,0
Engelbrecht,Annkristin Engelbrecht,1,0
Engels,Mareike Engels,1,0
Eube,Anna Eube,1,0
Falke-Ischinger,Jutta Falke-Ischinger,1,0
Feddersen,Jan Feddersen,2,0
Feldman,Julia Pelta Feldman,1,0
Fendel,Heike-Melba Fendel,1,0
fie,fie,3,0
fin,fin,3,0
Fischhaber,Anna Fischhaber,1,0
Fleischhauer,Jan Fleischhauer,2,0
Fokken,Silke Fokken,1,0
Frank,Arno Frank,2,0
Frank_B,Benedikt Frank,2,0
Franzke,Amna Franzke,1,0
Friese,Julia Friese,1,0
Frisse,Juliane Frisse,1,0
Fromm,Anne Fromm,1,0
Fuchs,Marco Fuchs,2,0
Gaensler,Katrin Gaensler,1,0
Gaschke,Susanne Gaschke,1,0
Gasteiger,Carolin Gasteiger,1,0
Gatzke,Marcus Gatzke,2,0
Gaul,Simone Gaul,1,0
Gerhardt,Daniel Gerhardt,2,0
Grabitz,Ileana Grabitz,1,0
Grasnick,Belinda Grasnick,1,0
Grasshoff,Friederike Zoe Grasshoff,1,0
Greven,Ludwig Greven,2,0
Griese,Inga Griese,1,0
Groll,Tina Groll,1,0
Gross,Torsten Gross,2,0
Guergen,2ne Guergen,1,0
Gutmair,Ulrich Gutmair,2,0
Haas,Michaela Haas,1,0
Haberkorn,Tobias Haberkorn,2,0
Haeming,Anne Haeming,1,0
Hahn,Dorothea Hahn,1,0
Halser,Marlene Halser,1,0
Hannemann,Uli Hannemann,2,0
Hans,Julian Hans,2,0
Haratischwili,Nino Haratischwili,2,0
Haug,Kristin Haug,1,0
Havertz,Rieke Havertz,1,0
Hecht,Patricia Hecht,1,0
Heidelberger,Sebastian Heidelberger,2,0
Heidenreich,Ulrike Heidenreich,1,0
Heine,Matthias Heine,2,0
Hengstenberg,Michail Hengstenberg,2,0
Henschel,Gerhard Henschel,2,0
Hensel,Jana Hensel,1,0
Hermsmeier,Lukas Hermsmeier,2,0
Hertreiter,Laura Hertreiter,1,0
Hielscher,Diane Hielscher,1,0
Hildebrand,Kathleen Hildebrand,1,0
Hildebrandt,Antje Hildebrandt,1,0
Hirsch,Annabelle Hirsch,1,0
Hoebel,Wolfgang Hoebel,2,0
Hoffmann,Eva Hoffmann,1,0
Hofmann,René Hofmann,2,0
Holtschulte,Michael Holtschulte,2,0
Horn,Eva Horn,1,0
Hugendick,David Hugendick,2,0
Hurst,Fabienne Hurst,2,0
Husmann,Wenke Husmann,1,0
Ippolito,Enrico Ippolito,2,0
ith,ith,3,0
Jager-Bowler,Frederic Jager-Bowler,2,0
Janker,Karin Janker,1,0
Janssen,Madeleine Janssen,1,0
Joeres,Annika Joeres,1,0
Johnson,Dominic Johnson,2,0
jr,jr,3,0
jsa,jsa,3,0
Judd,Ashley Judd,1,0
jwh,jwh,3,0
Kaever,Oliver Kaever,2,0
kami,kami,3,0
Kazim,Hasnain Kazim,2,0
Klasen,Oliver Klasen,2,0
Kloepper,Anna Kloepper,1,0
Klormann,Sybille Klormann,1,0
KNA,KNA,3,0
Kniebe,Tobias Kniebe,2,0
Koeppe,Julia Koeppe,1,0
Kolb,Matthias Kolb,2,0
Koopmann,Jan Paul Koopmann,2,0
Krauss,Martin Krauss,2,0
Kray,Sabine Kray,1,0
Kreye,Andrian Kreye,2,0
Kroeger,Michael Kroeger,2,0
Kropshofer,Katharina Kropshofer,1,0
Krott,Krott,3,0
Krueger,Daniel Krueger,2,0
Kruse,Joern Kruse,2,0
Kuchler,Barbara Kuchler,1,0
